IGBP iq    i     j    rlong      rlat  iveg frac-c4
   190    46     4    133.96    -38.87   0  0.00
   191    47     4    133.06    -38.00   0  0.00
   192    48     4    132.30    -37.10   0  0.00
   193     1     5    228.92    -37.67   0  0.00
   194     2     5    228.13    -38.66   0  0.00
   195     3     5    227.21    -39.62   0  0.00
   196     4     5    226.17    -40.57   0  0.00
   197     5     5    225.00    -41.50   0  0.00
   198     6     5    223.71    -42.41   0  0.00
   199     7     5    222.29    -43.31   0  0.00
   200     8     5    220.76    -44.20   0  0.00
   201     9     5    219.10    -45.07   0  0.00
   202    10     5    217.33    -45.93   0  0.00
   203    11     5    215.43    -46.76   0  0.00
   204    12     5    213.42    -47.56   0  0.00
   205    13     5    211.29    -48.32   0  0.00
   206    14     5    209.05    -49.05   0  0.00
   207    15     5    206.69    -49.74   0  0.00
   208    16     5    204.23    -50.37   0  0.00
   209    17     5    201.66    -50.96   0  0.00
   210    18     5    198.99    -51.48   0  0.00
   211    19     5    196.24    -51.94   0  0.00
   212    20     5    193.40    -52.33   0  0.00
   213    21     5    190.50    -52.65   0  0.00
   214    22     5    187.54    -52.89   0  0.00
   215    23     5    184.54    -53.06   0  0.00
   216    24     5    181.52    -53.14   0  0.00
   217    25     5    178.48    -53.14   0  0.00
   218    26     5    175.46    -53.06   0  0.00
   219    27     5    172.46    -52.89   0  0.00
   220    28     5    169.50    -52.65   0  0.00
   221    29     5    166.60    -52.33   0  0.00
   222    30     5    163.76    -51.94   0  0.00
   223    31     5    161.01    -51.48   0  0.00
   224    32     5    158.34    -50.96   0  0.00
   225    33     5    155.77    -50.37   0  0.00
   226    34     5    153.31    -49.74   0  0.00
   227    35     5    150.95    -49.05   0  0.00
   228    36     5    148.71    -48.32   0  0.00
   229    37     5    146.58    -47.56   0  0.00
   230    38     5    144.57    -46.76   0  0.00
   231    39     5    142.67    -45.93   0  0.00
   232    40     5    140.90    -45.07   0  0.00
   233    41     5    139.24    -44.20   0  0.00
   234    42     5    137.71    -43.31   0  0.00
   235    43     5    136.29    -42.41   0  0.00
   236    44     5    135.00    -41.50   0  0.00
   237    45     5    133.83    -40.57   0  0.00
   238    46     5    132.79    -39.62   0  0.00
   239    47     5    131.87    -38.66   0  0.00
   240    48     5    131.08    -37.67   0  0.00
   241     1     6    230.25    -38.25   0  0.00
   242     2     6    229.44    -39.33   0  0.00
   243     3     6    228.51    -40.38   0  0.00
   244     4     6    227.46    -41.40   0  0.00
   245     5     6    226.29    -42.41   0  0.00
   246     6     6    225.00    -43.40   0  0.00
   247     7     6    223.59    -44.38   0  0.00
   248     8     6    222.05    -45.34   0  0.00
   249     9     6    220.38    -46.28   0  0.00
   250    10     6    218.60    -47.19   0  0.00
   251    11     6    216.68    -48.08   0  0.00
   252    12     6    214.64    -48.94   0  0.00
   253    13     6    212.48    -49.77   0  0.00
   254    14     6    210.19    -50.55   0  0.00
   255    15     6    207.78    -51.29   0  0.00
   256    16     6    205.24    -51.98   0  0.00
   257    17     6    202.59    -52.61   0  0.00
   258    18     6    199.83    -53.17   0  0.00
   259    19     6    196.97    -53.67   0  0.00
   260    20     6    194.02    -54.09   0  0.00
   261    21     6    190.99    -54.43   0  0.00
   262    22     6    187.90    -54.69   0  0.00
   263    23     6    184.76    -54.87   0  0.00
   264    24     6    181.59    -54.96   0  0.00
   265    25     6    178.41    -54.96   0  0.00
   266    26     6    175.24    -54.87   0  0.00
   267    27     6    172.10    -54.69   0  0.00
   268    28     6    169.01    -54.43   0  0.00
   269    29     6    165.98    -54.09   0  0.00
   270    30     6    163.03    -53.67   0  0.00
   271    31     6    160.17    -53.17   0  0.00
   272    32     6    157.41    -52.61   0  0.00
   273    33     6    154.76    -51.98   0  0.00
   274    34     6    152.22    -51.29   0  0.00
   275    35     6    149.81    -50.55   0  0.00
   276    36     6    147.52    -49.77   0  0.00
   277    37     6    145.36    -48.94   0  0.00
   278    38     6    143.32    -48.08   0  0.00
   279    39     6    141.40    -47.19   0  0.00
   280    40     6    139.62    -46.28   0  0.00
   281    41     6    137.95    -45.34   0  0.00
   282    42     6    136.41    -44.38   0  0.00
   283    43     6    135.00    -43.40   0  0.00
   284    44     6    133.71    -42.41   0  0.00
   285    45     6    132.54    -41.40   0  0.00
   286    46     6    131.49    -40.38   0  0.00
   287    47     6    130.56    -39.33   0  0.00
   288    48     6    129.75    -38.25   0  0.00
   289     1     7    231.70    -38.85   0  0.00
   290     2     7    230.87    -40.00   0  0.00
   291     3     7    229.93    -41.13   0  0.00
   292     4     7    228.88    -42.23   0  0.00
   293     5     7    227.71    -43.31   0  0.00
   294     6     7    226.41    -44.38   0  0.00
   295     7     7    225.00    -45.42   0  0.00
   296     8     7    223.46    -46.45   0  0.00
   297     9     7    221.79    -47.46   0  0.00
   298    10     7    219.99    -48.44   0  0.00
   299    11     7    218.06    -49.39   0  0.00
   300    12     7    215.99    -50.32   0  0.00
   301    13     7    213.79    -51.20   0  0.00
   302    14     7    211.45    -52.04   0  0.00
   303    15     7    208.98    -52.83   0  0.00
   304    16     7    206.37    -53.57   0  0.00
   305    17     7    203.63    -54.25   0  0.00
   306    18     7    200.77    -54.85   0  0.00
   307    19     7    197.79    -55.39   0  0.00
   308    20     7    194.71    -55.85   0  0.00
   309    21     7    191.54    -56.22   0  0.00
   310    22     7    188.30    -56.50   0  0.00
   311    23     7    185.00    -56.69   0  0.00
   312    24     7    181.67    -56.79   0  0.00
   313    25     7    178.33    -56.79   0  0.00
   314    26     7    175.00    -56.69   0  0.00
   315    27     7    171.70    -56.50   0  0.00
   316    28     7    168.46    -56.22   0  0.00
   317    29     7    165.29    -55.85   0  0.00
   318    30     7    162.21    -55.39   0  0.00
   319    31     7    159.23    -54.85   0  0.00
   320    32     7    156.37    -54.25   0  0.00
   321    33     7    153.63    -53.57   0  0.00
   322    34     7    151.02    -52.83   0  0.00
   323    35     7    148.55    -52.04   0  0.00
   324    36     7    146.21    -51.20   0  0.00
   325    37     7    144.01    -50.32   0  0.00
   326    38     7    141.94    -49.39   0  0.00
   327    39     7    140.01    -48.44   0  0.00
   328    40     7    138.21    -47.46   0  0.00
   329    41     7    136.54    -46.45   0  0.00
   330    42     7    135.00    -45.42   0  0.00
   331    43     7    133.59    -44.38   0  0.00
   332    44     7    132.29    -43.31   0  0.00
   333    45     7    131.12    -42.23   0  0.00
   334    46     7    130.07    -41.13   0  0.00
   335    47     7    129.13    -40.00   0  0.00
   336    48     7    128.30    -38.85   0  0.00
   337     1     8    233.25    -39.46   0  0.00
   338     2     8    232.41    -40.68   0  0.00
   339     3     8    231.46    -41.88   0  0.00
   340     4     8    230.41    -43.05   0  0.00
   341     5     8    229.24    -44.20   0  0.00
   342     6     8    227.95    -45.34   0  0.00
   343     7     8    226.54    -46.45   0  0.00
   344     8     8    225.00    -47.55   0  0.00
   345     9     8    223.33    -48.62   0  0.00
   346    10     8    221.52    -49.67   0  0.00
   347    11     8    219.57    -50.69   0  0.00
   348    12     8    217.48    -51.67   0  0.00
   349    13     8    215.24    -52.61   0  0.00
   350    14     8    212.85    -53.51   0  0.00
   351    15     8    210.32    -54.36   0  0.00
   352    16     8    207.63    -55.15   0  0.00
   353    17     8    204.80    -55.88   0  0.00
   354    18     8    201.83    -56.53   0  0.00
   355    19     8    198.72    -57.11   0  0.00
   356    20     8    195.50    -57.60   0  0.00
   357    21     8    192.17    -58.00   0  0.00
   358    22     8    188.76    -58.31   0  0.00
   359    23     8    185.28    -58.52   0  0.00
   360    24     8    181.76    -58.62   0  0.00
   361    25     8    178.24    -58.62   0  0.00
   362    26     8    174.72    -58.52   0  0.00
   363    27     8    171.24    -58.31   0  0.00
   364    28     8    167.83    -58.00   0  0.00
   365    29     8    164.50    -57.60   0  0.00
   366    30     8    161.28    -57.11   0  0.00
   367    31     8    158.17    -56.53   0  0.00
   368    32     8    155.20    -55.88   0  0.00
   369    33     8    152.37    -55.15   0  0.00
   370    34     8    149.68    -54.36   0  0.00
   371    35     8    147.15    -53.51   0  0.00
   372    36     8    144.76    -52.61   0  0.00
   373    37     8    142.52    -51.67   0  0.00
   374    38     8    140.43    -50.69   0  0.00
   375    39     8    138.48    -49.67   0  0.00
   376    40     8    136.67    -48.62   0  0.00
   377    41     8    135.00    -47.55   0  0.00
   378    42     8    133.46    -46.45   0  0.00
   379    43     8    132.05    -45.34   0  0.00
   380    44     8    130.76    -44.20   0  0.00
   381    45     8    129.59    -43.05   0  0.00
   382    46     8    128.54    -41.88   0  0.00
   383    47     8    127.59    -40.68   0  0.00
   384    48     8    126.75    -39.46   0  0.00
   385     1     9    234.89    -40.07   0  0.00
   386     2     9    234.05    -41.35   0  0.00
   387     3     9    233.11    -42.61   0  0.00
   388     4     9    232.06    -43.85   0  0.00
   389     5     9    230.90    -45.07   0  0.00
   390     6     9    229.62    -46.28   0  0.00
   391     7     9    228.21    -47.46   0  0.00
   392     8     9    226.67    -48.62   0  0.00
   393     9     9    225.00    -49.76   0  0.00
   394    10     9    223.18    -50.87   0  0.00
   395    11     9    221.22    -51.95   0  0.00
   396    12     9    219.11    -53.00   0  0.00
   397    13     9    216.84    -54.01   0  0.00
   398    14     9    214.40    -54.97   0  0.00
   399    15     9    211.80    -55.88   0  0.00
   400    16     9    209.04    -56.72   0  0.00
   401    17     9    206.10    -57.50   0  0.00
   402    18     9    203.01    -58.21   0  0.00
   403    19     9    199.77    -58.83   0  0.00
   404    20     9    196.39    -59.36   0  0.00
   405    21     9    192.89    -59.79   0  0.00
   406    22     9    189.28    -60.12   0  0.00
   407    23     9    185.60    -60.35   0  0.00
   408    24     9    181.87    -60.46   0  0.00
   409    25     9    178.13    -60.46   0  0.00
   410    26     9    174.40    -60.35   0  0.00
   411    27     9    170.72    -60.12   0  0.00
   412    28     9    167.11    -59.79   0  0.00
   413    29     9    163.61    -59.36   0  0.00
   414    30     9    160.23    -58.83   0  0.00
   415    31     9    156.99    -58.21   0  0.00
   416    32     9    153.90    -57.50   0  0.00
   417    33     9    150.96    -56.72   0  0.00
   418    34     9    148.20    -55.88   0  0.00
   419    35     9    145.60    -54.97   0  0.00
   420    36     9    143.16    -54.01   0  0.00
   421    37     9    140.89    -53.00   0  0.00
   422    38     9    138.78    -51.95   0  0.00
   423    39     9    136.82    -50.87   0  0.00
   424    40     9    135.00    -49.76   0  0.00
   425    41     9    133.33    -48.62   0  0.00
   426    42     9    131.79    -47.46   0  0.00
   427    43     9    130.38    -46.28   0  0.00
   428    44     9    129.10    -45.07   0  0.00
   429    45     9    127.94    -43.85   0  0.00
   430    46     9    126.89    -42.61   0  0.00
   431    47     9    125.95    -41.35   0  0.00
